"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test","Delete the Student and veify if student is deleted","SUCCESS","2018-08-12T16:52:43.003-06:00","0.0","2.67"
"Student CRUD test","Student was added to the  applciation","SUCCESS","2018-08-12T16:52:32.798-06:00","0.0","6.62"
"Student CRUD test","This test Will Create New Student","SUCCESS","2018-08-12T16:52:30.202-06:00","0.0","2.59"
"Student CRUD test","Update the User Information and Verify updated information","SUCCESS","2018-08-12T16:52:39.435-06:00","0.0","3.57"
