"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity id info","Filedoesnot exist","COMPROMISED","2018-08-11T23:20:26.926-06:00","0.0","2.03"
"Serenity id info","Get all student","SUCCESS","2018-08-11T23:20:23.562-06:00","0.0","3.35"
"Serenity id info","Is this manul test","PENDING","2018-08-11T23:19:43.077-06:00","0.0","8.76"
"Serenity id info","This is a skipped test","IGNORED","2018-08-11T23:20:29.063-06:00","0.0","1.94"
"Serenity id info","This is failing test","FAILURE","2018-08-11T23:20:32.817-06:00","0.0","2.66"
"Serenity id info","This pending test","PENDING","2018-08-11T23:20:35.493-06:00","0.0","1.97"
"Serenity id info","This test cause error","ERROR","2018-08-11T23:20:31.015-06:00","0.0","1.78"
"Serenity id info","This test will get information student from Student App","SUCCESS","2018-08-11T23:19:51.907-06:00","0.0","31.64"
