"Story","Title","Result","Date","Stability","Duration (s)"
"Create student data driven test","Data Driven test for Adding multpile Student","FAILURE","2018-08-12T21:39:31.899-06:00","0.0","0.15"
"Serenity id info","This is failing test","FAILURE","2018-08-12T21:39:22.354-06:00","0.0","2.61"
"First serenity test","This is failing test","FAILURE","2018-08-12T21:39:59.275-06:00","0.0","2.8"
"Serenity id info","This test cause error","ERROR","2018-08-12T21:39:17.323-06:00","0.0","2.47"
"First serenity test","This test cause error","ERROR","2018-08-12T21:39:54.336-06:00","0.0","2.43"
