"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","Filedoesnot exist","COMPROMISED","2018-08-11T23:20:56.253-06:00","0.0","3.93"
"First serenity test","Get all student","SUCCESS","2018-08-11T23:20:52.824-06:00","0.0","3.42"
"First serenity test","Is this manul test","PENDING","2018-08-11T23:20:50.163-06:00","0.0","2.64"
"First serenity test","This is a skipped test","IGNORED","2018-08-11T23:21:00.191-06:00","0.0","3.05"
"First serenity test","This is failing test","FAILURE","2018-08-11T23:21:06.193-06:00","0.0","2.8"
"First serenity test","This pending test","PENDING","2018-08-11T23:21:08.992-06:00","0.0","2.89"
"First serenity test","This test cause error","ERROR","2018-08-11T23:21:03.243-06:00","0.0","2.94"
