"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity id info","Filedoesnot exist","COMPROMISED","2018-08-12T00:02:35.647-06:00","0.0","2.09"
"Serenity id info","Get all student","SUCCESS","2018-08-12T00:02:32.551-06:00","0.0","3.09"
"Serenity id info","Is this manul test","PENDING","2018-08-12T00:01:52.333-06:00","0.0","8.65"
"Serenity id info","This is a skipped test","IGNORED","2018-08-12T00:02:37.855-06:00","0.0","2.34"
"Serenity id info","This is failing test","FAILURE","2018-08-12T00:02:42.189-06:00","0.0","2.39"
"Serenity id info","This pending test","PENDING","2018-08-12T00:02:44.608-06:00","0.0","1.93"
"Serenity id info","This test cause error","ERROR","2018-08-12T00:02:40.207-06:00","0.0","1.96"
"Serenity id info","This test will get information student from Student App","SUCCESS","2018-08-12T00:02:01.086-06:00","0.0","31.46"
