"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","Filedoesnot exist","COMPROMISED","2018-08-11T19:44:10.836-06:00","0.0","0.09"
"First serenity test","Get all student","SUCCESS","2018-08-11T19:43:49.497-06:00","0.0","21.33"
"First serenity test","Is this manul test","PENDING","2018-08-11T19:43:47.603-06:00","0.0","1.81"
"First serenity test","This is a skipped test","IGNORED","2018-08-11T19:44:11.210-06:00","0.0","0.02"
"First serenity test","This is failing test","FAILURE","2018-08-11T19:44:11.304-06:00","0.0","0.45"
"First serenity test","This pending test","PENDING","2018-08-11T19:44:11.765-06:00","0.0","0.0"
"First serenity test","This test cause error","ERROR","2018-08-11T19:44:11.244-06:00","0.0","0.04"
