"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity id info","Filedoesnot exist","COMPROMISED","2018-08-12T16:51:35.479-06:00","0.0","2.63"
"Serenity id info","Get all student","SUCCESS","2018-08-12T16:51:31.149-06:00","0.0","4.33"
"Serenity id info","Is this manul test","PENDING","2018-08-12T16:50:50.988-06:00","0.0","7.6"
"Serenity id info","This is a skipped test","IGNORED","2018-08-12T16:51:38.166-06:00","0.0","2.82"
"Serenity id info","This is failing test","FAILURE","2018-08-12T16:51:42.914-06:00","0.0","1.49"
"Serenity id info","This pending test","PENDING","2018-08-12T16:51:44.419-06:00","0.0","1.58"
"Serenity id info","This test cause error","ERROR","2018-08-12T16:51:41.000-06:00","0.0","1.91"
"Serenity id info","This test will get information student from Student App","SUCCESS","2018-08-12T16:50:58.670-06:00","0.0","32.48"
