"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test","Delete the Student and veify if student is deleted","SUCCESS","2018-08-11T23:21:29.553-06:00","0.0","5.14"
"Student CRUD test","Student was added to the  applciation","SUCCESS","2018-08-11T23:21:18.134-06:00","0.0","7.43"
"Student CRUD test","This test Will Create New Student","SUCCESS","2018-08-11T23:21:12.707-06:00","0.0","5.42"
"Student CRUD test","Update the User Information and Verify updated information","SUCCESS","2018-08-11T23:21:25.575-06:00","0.0","3.97"
