"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","Filedoesnot exist","COMPROMISED","2018-08-11T20:21:25.629-06:00","0.0","1.67"
"First serenity test","Get all student","SUCCESS","2018-08-11T20:21:23.795-06:00","0.0","1.83"
"First serenity test","Is this manul test","PENDING","2018-08-11T20:21:22.192-06:00","0.0","1.6"
"First serenity test","This is a skipped test","IGNORED","2018-08-11T20:21:27.306-06:00","0.0","2.58"
"First serenity test","This is failing test","FAILURE","2018-08-11T20:21:31.542-06:00","0.0","1.76"
"First serenity test","This pending test","PENDING","2018-08-11T20:21:33.303-06:00","0.0","1.42"
"First serenity test","This test cause error","ERROR","2018-08-11T20:21:29.893-06:00","0.0","1.64"
